experiment_phase,condition_id,replicate,condition_order,matrix_seed,run_tag,run_id,mode,requested_algorithm,selected_algorithms,load,network_load_pct,state_cpu_pct,state_memory_pct,publisher_start_spread_ms,max_publisher_start_lateness_ms,devices,messages_per_device,payload_bytes,messages_expected,messages_received,message_loss_pct,authentication_failures,mean_encryption_ms,mean_decryption_ms,mean_e2e_latency_ms,p95_e2e_latency_ms,throughput_mbps,mean_process_cpu_pct,mean_rss_mb,estimated_energy_j
final,fixed_chacha20__low__d10__p1024,17,91,20260905,final_fixed_chacha20__low__d10__p1024_rep17_ord91_r1787_fixed_low_d10_p1024_cpu20_mem30_1788654133,1787,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 200}",low,20.0,20.0,30.0,11.801016000390518,11.802362001617439,10,20,1024,200,200,0.0,0,0.9144088800000001,0.19262708499999998,11.3460011,15.136915,0.8591371137364013,2.0496301012860596,33.128125,2.0500000000000003
final,fixed_chacha20__high__d10__p4096,17,92,20260905,final_fixed_chacha20__high__d10__p4096_rep17_ord92_r1806_fixed_high_d10_p4096_cpu20_mem30_1788654150,1806,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 200}",high,80.0,20.0,30.0,12.160177000623662,12.161598999227863,10,20,4096,200,200,0.0,0,0.77752335,0.093909235,14.983507549999999,21.658395,33.552454197834656,9.993441869856447,33.112890625,0.9999999999999998
final,adaptive__low__d20__p256,17,93,20260905,final_adaptive__low__d20__p256_rep17_ord93_r1816_adaptive_low_d20_p256_cpu20_mem30_1788654164,1816,adaptive,adaptive,"{""AES-256-GCM"": 400}",low,20.0,20.0,30.0,20.950787999026943,20.952049999323208,20,20,256,400,400,0.0,0,1.2410847825,0.12174668999999999,12.047727132499999,19.214065,0.43055464892395956,1.9746672276658077,33.0671875,3.95
final,fixed_aes128__low__d20__p4096,17,94,20260905,final_fixed_aes128__low__d20__p4096_rep17_ord94_r1737_fixed_low_d20_p4096_cpu20_mem30_1788654184,1737,fixed,AES-128-GCM,"{""AES-128-GCM"": 400}",low,20.0,20.0,30.0,22.511900002427865,22.513129995786585,20,20,4096,400,400,0.0,0,1.3618410625,0.1542679925,14.011173612499999,24.702599,6.892212972520071,1.999727302248783,33.0978515625,3.999999999999999
final,fixed_aes128__low__d10__p1024,17,95,20260905,final_fixed_aes128__low__d10__p1024_rep17_ord95_r1733_fixed_low_d10_p1024_cpu20_mem30_1788654203,1733,fixed,AES-128-GCM,"{""AES-128-GCM"": 200}",low,20.0,20.0,30.0,12.048093005432747,12.070330005371943,10,20,1024,200,200,0.0,0,0.7063217949999999,0.106456905,9.398338225,14.802386,0.8620052439161477,1.449886863435033,33.096875,1.4500000000000002
final,fixed_chacha20__medium__d10__p256,17,96,20260905,final_fixed_chacha20__medium__d10__p256_rep17_ord96_r1795_fixed_medium_d10_p256_cpu20_mem30_1788654220,1795,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 200}",medium,50.0,20.0,30.0,10.408595997432712,10.409634000097867,10,20,256,200,200,0.0,0,0.71764402,0.10211154,14.061696265,44.015547,1.0691258398456167,6.746823662274179,33.08828125,1.3499999999999994
final,adaptive__high__d20__p256,17,97,20260905,final_adaptive__high__d20__p256_rep17_ord97_r1834_adaptive_high_d20_p256_cpu20_mem30_1788654235,1834,adaptive,adaptive,"{""AES-128-GCM"": 400}",high,80.0,20.0,30.0,14.907764001691248,14.909366000210866,20,20,256,400,400,0.0,0,0.849752105,0.044328072499999996,20.4133785625,36.147803,3.62980166778915,7.244607974734028,33.054296875,1.4499999999999988
final,adaptive__low__d5__p1024,17,98,20260905,final_adaptive__low__d5__p1024_rep17_ord98_r1811_adaptive_low_d5_p1024_cpu20_mem30_1788654251,1811,adaptive,adaptive,"{""AES-256-GCM"": 100}",low,20.0,20.0,30.0,0.512313999934122,0.5138469932717271,5,20,1024,100,100,0.0,0,0.78103113,0.18565694,10.49221415,13.427628,0.43253012958241843,2.0997212914362353,33.0296875,1.0499999999999998
final,fixed_chacha20__medium__d20__p1024,17,99,20260905,final_fixed_chacha20__medium__d20__p1024_rep17_ord99_r1799_fixed_medium_d20_p1024_cpu20_mem30_1788654266,1799,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 400}",medium,50.0,20.0,30.0,19.075495001743548,19.076201002462767,20,20,1024,400,400,0.0,0,1.12717333,0.0733492775,10.111287707499999,25.882217,8.591923336580408,4.998039890421277,33.12421875,1.9999999999999991
final,fixed_aes128__medium__d5__p256,17,100,20260905,final_fixed_aes128__medium__d5__p256_rep17_ord100_r1738_fixed_medium_d5_p256_cpu20_mem30_1788654284,1738,fixed,AES-128-GCM,"{""AES-128-GCM"": 100}",medium,50.0,20.0,30.0,0.5822189996251836,0.5836160053149797,5,20,256,100,100,0.0,0,0.58814685,0.14020559999999999,12.58463491,30.878833,0.5482021767229962,6.998859887272384,33.028125,0.7000000000000001
final,fixed_chacha20__medium__d5__p4096,17,101,20260905,final_fixed_chacha20__medium__d5__p4096_rep17_ord101_r1794_fixed_medium_d5_p4096_cpu20_mem30_1788654297,1794,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 100}",medium,50.0,20.0,30.0,0.44797000009566545,0.4484759992919862,5,20,4096,100,100,0.0,0,0.25163844,0.08207893000000001,9.019549829999999,11.679446,8.59355006190205,3.4983471329769102,33.05,0.34999999999999865
final,fixed_aes128__low__d5__p256,17,102,20260905,final_fixed_aes128__low__d5__p256_rep17_ord102_r1729_fixed_low_d5_p256_cpu20_mem30_1788654311,1729,fixed,AES-128-GCM,"{""AES-128-GCM"": 100}",low,20.0,20.0,30.0,0.472849998914171,0.47377699956996366,5,20,256,100,100,0.0,0,0.67017813,0.1854692,11.05671065,13.158388,0.10794087462292801,2.0995779819920655,33.03125,1.0499999999999996
